"Deaths involving COVID-19 increased in UK ",""
"Number of deaths registered by week, UK, week ending 13 March 2020 to week ending 15 July 2022 ",""
"",""
"Notes",""
"Unit","COVID-19 deaths"
"",""
"Week ending","COVID-19 deaths"
"13-Mar-20","5"
"20-Mar-20","114"
"27-Mar-20","607"
"03-Apr-20","3801"
"10-Apr-20","6888"
"17-Apr-20","9495"
"24-Apr-20","9009"
"01-May-20","6680"
"08-May-20","4426"
"15-May-20","4214"
"22-May-20","2872"
"29-May-20","2000"
"05-Jun-20","1697"
"12-Jun-20","1203"
"19-Jun-20","849"
"26-Jun-20","652"
"03-Jul-20","562"
"10-Jul-20","388"
"17-Jul-20","303"
"24-Jul-20","231"
"31-Jul-20","200"
"07-Aug-20","162"
"14-Aug-20","146"
"21-Aug-20","149"
"28-Aug-20","111"
"04-Sep-20","83"
"11-Sep-20","110"
"18-Sep-20","158"
"25-Sep-20","234"
"02-Oct-20","343"
"09-Oct-20","474"
"16-Oct-20","762"
"23-Oct-20","1126"
"30-Oct-20","1598"
"06-Nov-20","2226"
"13-Nov-20","2839"
"20-Nov-20","3040"
"27-Nov-20","3371"
"04-Dec-20","3160"
"11-Dec-20","3066"
"18-Dec-20","3275"
"25-Dec-20","3197"
"01-Jan-21","3417"
"08-Jan-21","6594"
"15-Jan-21","7771"
"22-Jan-21","9056"
"29-Jan-21","9014"
"05-Feb-21","7823"
"12-Feb-21","6115"
"19-Feb-21","4448"
"26-Feb-21","3199"
"05-Mar-21","2280"
"12-Mar-21","1637"
"19-Mar-21","1046"
"26-Mar-21","800"
"02-Apr-21","450"
"09-Apr-21","422"
"16-Apr-21","402"
"23-Apr-21","290"
"30-Apr-21","232"
"07-May-21","139"
"14-May-21","164"
"21-May-21","115"
"28-May-21","106"
"04-Jun-21","108"
"11-Jun-21","93"
"18-Jun-21","116"
"25-Jun-21","118"
"02-Jul-21","132"
"09-Jul-21","217"
"16-Jul-21","268"
"23-Jul-21","392"
"30-Jul-21","468"
"06-Aug-21","612"
"13-Aug-21","652"
"20-Aug-21","654"
"27-Aug-21","770"
"03-Sep-21","781"
"10-Sep-21","998"
"17-Sep-21","1049"
"24-Sep-21","1110"
"01-Oct-21","974"
"08-Oct-21","825"
"15-Oct-21","892"
"22-Oct-21","975"
"29-Oct-21","1044"
"05-Nov-21","1194"
"12-Nov-21","1198"
"19-Nov-21","1090"
"26-Nov-21","980"
"03-Dec-21","912"
"10-Dec-21","888"
"17-Dec-21","856"
"24-Dec-21","935"
"31-Dec-21","640"
"07-Jan-22","1023"
"14-Jan-22","1561"
"21-Jan-22","1673"
"28-Jan-22","1545"
"04-Feb-22","1391"
"11-Feb-22","1186"
"18-Feb-22","970"
"25-Feb-22","879"
"04-Mar-22","816"
"11-Mar-22","821"
"18-Mar-22","829"
"25-Mar-22","1006"
"01-Apr-22","1063"
"08-Apr-22","1134"
"15-Apr-22","1152"
"22-Apr-22","1185"
"29-Apr-22","1249"
"06-May-22","838"
"13-May-22","796"
"20-May-22","615"
"27-May-22","469"
"03-Jun-22","211"
"10-Jun-22","335"
"17-Jun-22","309"
"24-Jun-22","347"
"01-Jul-22","412"
"08-Jul-22","529"
"15-Jul-22","694"
